"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Fernández García M.; Molinero-Gerbeau Y.; Sajir Z.","Fernández García, Mercedes (57218556375); Molinero-Gerbeau, Yoan (57201699417); Sajir, Zakaria (57209586433)","57218556375; 57201699417; 57209586433","‘They think you belong to them’: migrant workers’ perspectives on labour exploitation in Spain","2023","Journal of Ethnic and Migration Studies","49","15","","3976","3995","19","3","10.1080/1369183X.2023.2235896","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165142686&doi=10.1080%2f1369183X.2023.2235896&partnerID=40&md5=10c57bdc57901edda5e1fe8e56d6eca6","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85165142686"
"Sierra-Rodríguez A.; Arroyo-Machado W.; Barroso-Hurtado D.","Sierra-Rodríguez, Alba (57487930500); Arroyo-Machado, Wenceslao (57205072691); Barroso-Hurtado, Domingo (57205493826)","57487930500; 57205072691; 57205493826","Twitter and human trafficking: Purposes, actors and topics in the Spanish-speaking scene; [La trata de personas en Twitter: Finalidades, actores y temas en la escena hispanohablante]","2022","Comunicar","30","71","","1","13","12","2","10.3916/C71-2022-06","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126340522&doi=10.3916%2fC71-2022-06&partnerID=40&md5=dac98f3738af3891082ccd47f7b02fa7","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85126340522"
"Muianga C.","Muianga, Carlos (57543812000)","57543812000","The expansion of capitalist agricultural production and social reproduction of rural labour: contradictions within the logic of capital accumulation in Mozambique; [  A expansão da produção agrícola capitalista e a reprodução social da força de trabalho rural: contradições dentro da lógica de acumulação de capital em Moçambique]","2022","Review of African Political Economy","49","171","","87","106","19","3","10.1080/03056244.2022.2036485","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126890329&doi=10.1080%2f03056244.2022.2036485&partnerID=40&md5=025139df34e1b81d5281d77dc1e5c6d6","Article","Final","","Scopus","2-s2.0-85126890329"
"Sabates-Wheeler R.; Sumberg J.","Sabates-Wheeler, Rachel (6508061940); Sumberg, James (6701487425)","6508061940; 6701487425","Breaking out of the policy enclave approach to child labour in sub-Saharan African agriculture","2022","Global Social Policy","22","1","","46","66","20","5","10.1177/1468018121991813","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100901942&doi=10.1177%2f1468018121991813&partnerID=40&md5=2713dcf919abc4e22cab18b86cb68701","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85100901942"
"Junior P.; Franks D.M.","Junior, Patrick (57563121900); Franks, Daniel M. (35236786800)","57563121900; 35236786800","CONSTRUCTION MATERIALS AND SUSTAINABLE DEVELOPMENT","2022","Routledge Handbook of the Extractive Industries and Sustainable Development","","","","228","246","18","1","10.4324/9781003001317-14","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145152089&doi=10.4324%2f9781003001317-14&partnerID=40&md5=87246e1b06a85c0c7a681f400bc5435f","Book chapter","Final","","Scopus","2-s2.0-85145152089"
"Kumar R.; Choudhary D.; Bang P.; Dua A.; Sangwan K.S.","Kumar, Rishi (57222877090); Choudhary, Deepika (58479465000); Bang, Pradyumna (58479547200); Dua, Amit (7004844676); Sangwan, Kuldip Singh (6701355439)","57222877090; 58479465000; 58479547200; 7004844676; 6701355439","A Blockchain Technology based Framework for Environmental and Social Impact Authenticity of a 3D Printed Product","2023","Procedia CIRP","116","","","281","286","5","3","10.1016/j.procir.2023.02.048","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164288118&doi=10.1016%2fj.procir.2023.02.048&partnerID=40&md5=1e96a9dc0d326ad71b32d3ba31687bc5","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85164288118"
"Selwyn B.","Selwyn, Benjamin (31067525900)","31067525900","A GREEN NEW DEAL FOR AGRICULTURE: Whither capitalism?","2022","Routledge Handbook on the Green New Deal","","","","88","107","19","1","10.4324/9781003110880-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142559920&doi=10.4324%2f9781003110880-7&partnerID=40&md5=ac7ebfe3894f22b677efe2fede67032b","Book chapter","Final","","Scopus","2-s2.0-85142559920"
"Habib R.R.; Katrib R.S.; Katrib F.S.; Abi Younes E.; Ziadee M.; Al Barathie J.","Habib, Rima R. (12795442800); Katrib, Reem S. (57572765800); Katrib, Farah S. (57572765900); Abi Younes, Elio (57206657227); Ziadee, Micheline (55638642600); Al Barathie, Josleen (57267123400)","12795442800; 57572765800; 57572765900; 57206657227; 55638642600; 57267123400","Mistreatment at work and musculoskeletal pain in male and female working Syrian refugee children","2022","Ergonomics","65","11","","1469","1476","7","2","10.1080/00140139.2022.2051610","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128062903&doi=10.1080%2f00140139.2022.2051610&partnerID=40&md5=6ab489caa8d2ce8ffef6febcc2acae31","Article","Final","","Scopus","2-s2.0-85128062903"
"Mitchell D.","Mitchell, Don (7403871030)","7403871030","Taylorism Comes to the Fields: Labor Control, Labor Supply, Labor Process, and the Twilight of Fordism in California Agribusiness","2023","Economic Geography","99","4","","341","362","21","2","10.1080/00130095.2023.2188188","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150900552&doi=10.1080%2f00130095.2023.2188188&partnerID=40&md5=fbada8d3eda375f4b380eb47d7cfa2aa","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85150900552"
"Hasil J.; Kyselý R.; Pilař D.","Hasil, Jan (56378872200); Kyselý, René (56560101200); Pilař, Daniel (58414147800)","56378872200; 56560101200; 58414147800","The Rediscovery of a Labour Camp on the Construction Site of the Stalin Monument in Prague; [Znovuobjevení pracovního tábora na staveništi pražského Stalinova pomníku]","2022","Acta Universitatis Lodziensis. Folia Archaeologica","","37","","7","29","22","1","10.18778/0208-6034.37.01","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163763270&doi=10.18778%2f0208-6034.37.01&partnerID=40&md5=456754426774ab17077dc871a1d1d50f","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85163763270"
"Hepburn S.; Jackson A.","Hepburn, Sacha (57205418326); Jackson, April (57223285197)","57205418326; 57223285197","Colonial Exceptions: The International Labour Organization and Child Labour in British Africa, c.1919–40","2022","Journal of Contemporary History","57","2","","218","241","23","4","10.1177/0022009420988063","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105521644&doi=10.1177%2f0022009420988063&partnerID=40&md5=fd3556a8c61759eb23e539ea71fd17d2","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85105521644"
"Tohidian I.; Taskoh A.K.; Abbaspour A.","Tohidian, Iman (24825597900); Taskoh, Ali Khorsandi (57215009506); Abbaspour, Abbas (55209814700)","24825597900; 57215009506; 55209814700","Stories from children of labour in Iran: Do universities have a social responsibility to help resolve the problems?","2023","Issues in Educational Research","33","1","","414","427","13","2","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153326024&partnerID=40&md5=cb0403c1ced414748efddc53da48fa4a","Article","Final","","Scopus","2-s2.0-85153326024"
"Lurgain J.G.; Eyber C.","Lurgain, Jone G. (57210337828); Eyber, Carola (6505784695)","57210337828; 6505784695","Understanding female adolescent ‘runaways’ and the implications of their decisions in Tigray, northern Ethiopia","2022","Child Abuse and Neglect","129","","104125","","","","6","10.1016/j.chiabu.2019.104125","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070390929&doi=10.1016%2fj.chiabu.2019.104125&partnerID=40&md5=4df150da1b2bf2e0aa46b18935701474","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85070390929"
"Mori M.; Iribarren D.; Cren J.; Monnier E.; Stropnik R.; Lotrič A.; Sekavčnik M.; Cortés D.; Giménez L.; Rey L.; Puig-Samper G.; Campos-Carriedo F.; Bargiacchi E.; Dufour J.; Cor E.","Mori, Mitja (23492977200); Iribarren, Diego (25722122300); Cren, Julie (56297872400); Monnier, Elise (57203840472); Stropnik, Rok (57189688218); Lotrič, Andrej (54880544100); Sekavčnik, Mihael (6603366688); Cortés, Darío (58086146300); Giménez, Lara (58086005600); Rey, Laurent (58086098000); Puig-Samper, Gonzalo (57830677300); Campos-Carriedo, Felipe (58036912800); Bargiacchi, Eleonora (57204071912); Dufour, Javier (7102155508); Cor, Emmanuelle (56124754200)","23492977200; 25722122300; 56297872400; 57203840472; 57189688218; 54880544100; 6603366688; 58086146300; 58086005600; 58086098000; 57830677300; 58036912800; 57204071912; 7102155508; 56124754200","SUSTAINABILITY ASSESSMENT OF A PROTON-EXCHANGE MEMBRANE FUEL CELL STACK AS A BASIS FOR THE DEVELOPMENT OF ECO-DESIGN GUIDELINES","2022","Proceedings of WHEC 2022 - 23rd World Hydrogen Energy Conference: Bridging Continents by H2","","","","1455","1457","2","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147191752&partnerID=40&md5=5c44cbe8b8c5f17b49d98104caf07012","Conference paper","Final","","Scopus","2-s2.0-85147191752"
"Arun S.; Olsen W.","Arun, Shoba (6701670873); Olsen, Wendy (15023329700)","6701670873; 15023329700","Modern slavery and exploitative work regimes: an intersectional approach: Modern Slavery and Exploitative Work Regimes: policy implications of multiple and differential intersections","2023","Development in Practice","33","2","","133","144","11","0","10.1080/09614524.2023.2173725","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85157997271&doi=10.1080%2f09614524.2023.2173725&partnerID=40&md5=4b23d4ef3e4577c06dbf9fbf31f70ca5","Editorial","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85157997271"
"Deshingkar P.","Deshingkar, Priya (8535567100)","8535567100","Cultural capital and constrained agency in debt-migration for construction work in India","2023","Cultural Studies","37","4","","605","625","20","5","10.1080/09502386.2022.2045333","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126213088&doi=10.1080%2f09502386.2022.2045333&partnerID=40&md5=2e6f1dd1f39359737947d9318dd652b7","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85126213088"
"Fassa A.G.; Faria N.M.X.; Szortyka A.L.S.C.; Meucci R.D.; Fiori N.S.; de Carvalho M.P.","Fassa, Anaclaudia Gastal (6602427635); Faria, Neice Muller Xavier (57207557678); Szortyka, Ana Laura Sica Cruzeiro (16306277400); Meucci, Rodrigo Dalke (55234123900); Fiori, Nadia Spada (36789876100); de Carvalho, Maitê Peres (42461191700)","6602427635; 57207557678; 16306277400; 55234123900; 36789876100; 42461191700","Child labor in family tobacco farms in southern brazil: Occupational exposure and related health problems","2021","International Journal of Environmental Research and Public Health","18","22","12255","","","","3","10.3390/ijerph182212255","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119408839&doi=10.3390%2fijerph182212255&partnerID=40&md5=83e227c0a77459b658d01b282a431c9c","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85119408839"
"Kaplan Y.; Perez O.","Kaplan, Yotam (57196389802); Perez, Oren (12765223300)","57196389802; 12765223300","TORT AS META-REGULATION: THE LIABILITY OF PRIVATE TRANSNATIONAL REGULATORS","2022","University of Pennsylvania Journal of International Law","43","3","","667","719","52","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160673947&partnerID=40&md5=92e6dd586be9235dbbdf18cbbcdde57f","Article","Final","","Scopus","2-s2.0-85160673947"
"Iannacci-Manasia L.","Iannacci-Manasia, Lisa (58315199500)","58315199500","Unprotected Youth Workers in US Agriculture","2023","Frontiers in Public Health","11","","1064143","","","","0","10.3389/fpubh.2023.1064143","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162046967&doi=10.3389%2ffpubh.2023.1064143&partnerID=40&md5=ff077cd188c6323f06f9e662a9e804b9","Note","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85162046967"
"Jones P.; Comfort D.","Jones, Peter (57209625905); Comfort, Daphne (8064675100)","57209625905; 8064675100","Modern slavery statements and the UK's largest housebuilding companies: an exploratory research paper","2022","Property Management","40","5","","658","670","12","7","10.1108/PM-06-2021-0043","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124610939&doi=10.1108%2fPM-06-2021-0043&partnerID=40&md5=d97bfad5d6776513940a9b47d8a21986","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85124610939"
"Rizzuti A.","Rizzuti, Alice (57218223900)","57218223900","Organized Crime in the Agri-Food Industry","2022","The Private Sector and Organized Crime: Criminal Entrepreneurship, Illicit Profits, and Private Sector Security Governance","","","","163","179","16","1","10.4324/9781003198635-12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142571979&doi=10.4324%2f9781003198635-12&partnerID=40&md5=962125bb33d3663083c27c40010dddf8","Book chapter","Final","","Scopus","2-s2.0-85142571979"
"Hirvelä J.; Jänis-Isokangas I.","Hirvelä, Jesse (57845067300); Jänis-Isokangas, Ira (57164808800)","57845067300; 57164808800","Future Citizens or Useful Workforce? Finnish Immigrants and the Communist Party of Finland in Svirstroi, 1931-1934","2022","Soviet and Post Soviet Review","49","3","","339","362","23","0","10.30965/18763324-bja10064","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135874351&doi=10.30965%2f18763324-bja10064&partnerID=40&md5=52fe1e4b748ca9c74010777cb6841ace","Review","Final","","Scopus","2-s2.0-85135874351"
"Suprun E.; Almeshari R.; Liu T.; Stewart R.A.; Duran S.","Suprun, E. (57194815918); Almeshari, R. (58017821300); Liu, T. (55727714000); Stewart, R.A. (58023802000); Duran, S. (57463821300)","57194815918; 58017821300; 55727714000; 58023802000; 57463821300","Beyond compliance in the construction sector: Mapping the modern slavery statements through content analysis","2022","IOP Conference Series: Earth and Environmental Science","1101","3","032018","","","","3","10.1088/1755-1315/1101/3/032018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144070276&doi=10.1088%2f1755-1315%2f1101%2f3%2f032018&partnerID=40&md5=6640c9b588fc98e735bde65883aab6f9","Conference paper","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85144070276"
"Wray-Bliss E.; Michelson G.","Wray-Bliss, Edward (6505870209); Michelson, Grant (8595262000)","6505870209; 8595262000","Modern Slavery and the Discursive Construction of a Propertied Freedom: Evidence from Australian Business","2022","Journal of Business Ethics","179","3","","649","663","14","11","10.1007/s10551-021-04845-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107402220&doi=10.1007%2fs10551-021-04845-w&partnerID=40&md5=d77243bd34754f80ec785d5f6753e4f1","Article","Final","","Scopus","2-s2.0-85107402220"
"Sahu S.; Mehta P.K.; Sahu P.","Sahu, Skylab (55568699800); Mehta, Pradeep K. (36647715900); Sahu, Parthasarathi (57912084800)","55568699800; 36647715900; 57912084800","Women’s Body Bonded in Labour and Violence","2022","Indian Journal of Human Development","16","2","","390","395","5","1","10.1177/09737030221123180","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138996819&doi=10.1177%2f09737030221123180&partnerID=40&md5=ca95f09f00d4efbcc4bf53864155c587","Note","Final","","Scopus","2-s2.0-85138996819"
"Krasnozhenova Elena E.; Greben Evgeny A.","Krasnozhenova Elena, E. (57222167852); Greben Evgeny, A. (57222167247)","57222167852; 57222167247","Ostarbeiters of the Belarusian-Russian border: living and working conditions in Germany and the Baltic States","2021","Voprosy Istorii","11","1","","18","27","9","0","10.31166/VoprosyIstorii202111Statyi02","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126290551&doi=10.31166%2fVoprosyIstorii202111Statyi02&partnerID=40&md5=d858d54966d89f10329110f9c1955808","Article","Final","","Scopus","2-s2.0-85126290551"
"Greif A.; Kiesling L.; Nye J.V.C.","Greif, Avner (6603951618); Kiesling, Lynne (6603306459); Nye, John V.C. (8234501800)","6603951618; 6603306459; 8234501800","Institutions, innovation, and industrialization: Essays in economic history and development","2020","Institutions, Innovation, and Industrialization: Essays in Economic History and Development","","","","1","440","439","4","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190623519&partnerID=40&md5=bf85c47584fbd6b0cc85c16b71b816f5","Book","Final","","Scopus","2-s2.0-85190623519"
"Arnold T.J.; Arcury T.A.; Sandberg J.C.; Quandt S.A.; Talton J.W.; Mora D.C.; Kearney G.D.; Chen H.; Wiggins M.F.; Daniel S.S.","Arnold, Taylor J. (57203877920); Arcury, Thomas A. (7005890732); Sandberg, Joanne C. (54884900200); Quandt, Sara A. (7005921858); Talton, Jennifer W. (35338060600); Mora, Dana C. (55261840200); Kearney, Gregory D. (56999195600); Chen, Haiying (57126555300); Wiggins, Melinda F. (55539821300); Daniel, Stephanie S. (57202874774)","57203877920; 7005890732; 54884900200; 7005921858; 35338060600; 55261840200; 56999195600; 57126555300; 55539821300; 57202874774","Heat-Related Illness Among Latinx Child Farmworkers in North Carolina: A Mixed-Methods Study","2020","New Solutions","30","2","","111","126","15","27","10.1177/1048291120920571","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084486669&doi=10.1177%2f1048291120920571&partnerID=40&md5=d3f1241c8e4556c8828b3a89d670d2af","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85084486669"
"Tomczak R.H.","Tomczak, Richard H. (57223926467)","57223926467","Corvée labour and the habitant ""Spirit of Mutiny"" in New France, 1688-1731","2021","Labour/ Le Travail","","87","","19","47","28","1","10.1353/llt.2021.0003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106465366&doi=10.1353%2fllt.2021.0003&partnerID=40&md5=8cf962da5e9151524b810bf01698140e","Review","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85106465366"
"Ravenda D.; Valencia-Silva M.M.; Argiles-Bosch J.M.; García-Blandón J.","Ravenda, Diego (56306301000); Valencia-Silva, Maika M. (56289818300); Argiles-Bosch, Josep M. (23468738600); García-Blandón, Josep (36141689700)","56306301000; 56289818300; 23468738600; 36141689700","The Effects of Immigration on Labour Tax Avoidance: An Empirical Spatial Analysis","2021","Journal of Business Ethics","170","3","","471","496","25","3","10.1007/s10551-019-04393-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077087686&doi=10.1007%2fs10551-019-04393-4&partnerID=40&md5=f484f3e4ad0163a7cb6ecee921166250","Article","Final","","Scopus","2-s2.0-85077087686"
"Backer L.C.","Backer, Larry Catá (57074807400)","57074807400","The problem of the enterprise and the enterprise of law: Multinational enterprises as polycentric transnational regulatory space","2021","The Oxford Handbook of Transnational Law","","","","777","800","23","3","10.1093/oxfordhb/9780197547410.013.35","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112319135&doi=10.1093%2foxfordhb%2f9780197547410.013.35&partnerID=40&md5=481cadde3d2073caec6903af5b127771","Book chapter","Final","","Scopus","2-s2.0-85112319135"
"Sarumpaet S.; Fauzi H.","Sarumpaet, Susi (57202338355); Fauzi, Hasan (55377835000)","57202338355; 55377835000","Modern Slavery Disclosures in a Voluntary Regime: A Political Cost Perspective","2021","The Palgrave Handbook of Corporate Social Responsibility","","","","667","691","24","0","10.1007/978-3-030-42465-7_81","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150587292&doi=10.1007%2f978-3-030-42465-7_81&partnerID=40&md5=9312d43ff5d9a6bed4fc181595c7ad8e","Book chapter","Final","","Scopus","2-s2.0-85150587292"
"Mulukaev R.S.; Malygin A.Ya.","Mulukaev, Roland S. (57220813146); Malygin, Alexander Yа (57220812717)","57220813146; 57220812717","Defense production activities of the GULAG NKVD USSR in 1941-1945. In the materials of the state defense committee","2021","Voprosy Istorii","2021","5-2","","243","253","10","0","10.31166/VoprosyIstorii202105Statyi56","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109037820&doi=10.31166%2fVoprosyIstorii202105Statyi56&partnerID=40&md5=1eea3f3d680ce09e8a34e4a052ea5f71","Article","Final","","Scopus","2-s2.0-85109037820"
"Trinh T.-A.; Posso A.; Feeny S.","Trinh, Trong-Anh (57196425412); Posso, Alberto (26030024900); Feeny, Simon (6508110969)","57196425412; 26030024900; 6508110969","Child Labor and Rainfall Deviation: Panel Data Evidence from Rural Vietnam","2020","Developing Economies","58","1","","63","76","13","7","10.1111/deve.12215","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074021952&doi=10.1111%2fdeve.12215&partnerID=40&md5=fa91c0b8df67d1224c3435374fa03d1e","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85074021952"
"Bracy K.; Lul B.; Roe-Sepowitz D.","Bracy, Kristen (57210374191); Lul, Bandak (57210378278); Roe-Sepowitz, Dominique (23092163800)","57210374191; 57210378278; 23092163800","A Four-year Analysis of Labor Trafficking Cases in the United States: Exploring Characteristics and Labor Trafficking Patterns","2021","Journal of Human Trafficking","7","1","","35","52","17","20","10.1080/23322705.2019.1638148","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070519582&doi=10.1080%2f23322705.2019.1638148&partnerID=40&md5=52ac335937caed6d22d29342fec88658","Article","Final","","Scopus","2-s2.0-85070519582"
"Montt G.; Luu T.","Montt, Guillermo (36775010700); Luu, Trang (57210440941)","36775010700; 57210440941","Does Conservation Agriculture Change Labour Requirements? Evidence of Sustainable Intensification in Sub-Saharan Africa","2020","Journal of Agricultural Economics","71","2","","556","580","24","25","10.1111/1477-9552.12353","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070784622&doi=10.1111%2f1477-9552.12353&partnerID=40&md5=c40625fd19a4bab30098ef3a972ef00e","Article","Final","","Scopus","2-s2.0-85070784622"
"Battistelli S.","Battistelli, Stefania (57226838799)","57226838799","Citizenship and exploitation in the case of an “innovative” farm; [Cittadinanze e sfruttamento nel caso di un’azienda agricola “innovativa”]","2021","Lavoro e Diritto","35","2","","321","334","13","2","10.1441/100866","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112797462&doi=10.1441%2f100866&partnerID=40&md5=54c4f22843a5404cc4168551a8564754","Review","Final","","Scopus","2-s2.0-85112797462"
"Daly A.; Hillis A.; Shrestha S.M.; Shrestha B.K.","Daly, Angela (55360045000); Hillis, Alice (57527592000); Shrestha, Shubhendra Man (57219147615); Shrestha, Babu Kaji (57219145847)","55360045000; 57527592000; 57219147615; 57219145847","Children’s migration to brick kilns in Nepal: a review of educational interventions and stakeholder responses to child labour","2021","Vulnerable Children and Youth Studies","16","3","","221","231","10","3","10.1080/17450128.2020.1867334","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098550792&doi=10.1080%2f17450128.2020.1867334&partnerID=40&md5=d65d72a1e3f1eefc762191dc85561049","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85098550792"
"Wixforth H.","Wixforth, Harald (37084846100)","37084846100","Room for manoeuvre in times of change the Bremer Vulcan Ag in World War II and the postwar period; [Handlungsspielräume in Umbruchszeiten Der Bremer Vulkan im Zweiten Weltkrieg und in der Nachkriegszeit]","2021","Zeitschrift fur Unternehmensgeschichte","66","2","","255","291","36","0","10.1515/zug-2021-0008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116055265&doi=10.1515%2fzug-2021-0008&partnerID=40&md5=597540e4347955a1cca074d02ad0bd7a","Review","Final","","Scopus","2-s2.0-85116055265"
"Webb D.A.","Webb, Denver A. (55662613000)","55662613000","The Historian, the Premier and Forced Labour in the Cape Colony, 1878–1879","2020","Journal of Southern African Studies","46","3","","491","507","16","0","10.1080/03057070.2020.1763030","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087084588&doi=10.1080%2f03057070.2020.1763030&partnerID=40&md5=6e2e5271fadeb4ba3c9cc2e89f41c80c","Article","Final","","Scopus","2-s2.0-85087084588"
"Bales K.; Sovacool B.K.","Bales, Kevin (55924783200); Sovacool, Benjamin K. (9333655700)","55924783200; 9333655700","From forests to factories: How modern slavery deepens the crisis of climate change","2021","Energy Research and Social Science","77","","102096","","","","24","10.1016/j.erss.2021.102096","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110274224&doi=10.1016%2fj.erss.2021.102096&partnerID=40&md5=2120b80846a43804243956cf93fccd2e","Short survey","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85110274224"
"Barth S.","Barth, Susanne (57280066900)","57280066900","Revisiting the ""cosel period"": A fresh perspective on the stopping of western deportation trains en route to auschwitz, 1942–1943","2021","Shofar","39","2","","32","61","29","0","10.1353/SHO.2021.0023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116073197&doi=10.1353%2fSHO.2021.0023&partnerID=40&md5=afbaa112afc215dd00e4942b30b4f776","Article","Final","","Scopus","2-s2.0-85116073197"
"Jackson B.","Jackson, Bethany (57200913771)","57200913771","Modern Slavery as a Threat to Forests: Reviewing the Links between Modern Slavery, Deforestation, and Potential Solutions","2021","Advances in Environmental Research. Volume 84","","","","1","67","66","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131496539&partnerID=40&md5=3655d0c50b62d0886c05bd5f30ebeca9","Book chapter","Final","","Scopus","2-s2.0-85131496539"
"Parsons L.","Parsons, Laurie (56426816000)","56426816000","Thermal inequality in a changing climate: Heat, mobility, and precarity in the cambodian brick sector","2021","Climate Change in the Global Workplace: Labour, Adaptation and Resistance","","","","15","31","16","3","10.4324/9780367822903-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105181299&doi=10.4324%2f9780367822903-3&partnerID=40&md5=0ae1f48935f0faa15f8397e2ed7b7559","Book chapter","Final","","Scopus","2-s2.0-85105181299"
"Progga F.T.; Shahria M.D.T.; Arisha A.; Shanto M.U.A.","Progga, Farhat Tasnim (57219509932); Shahria, Md. Tanzil (57208340630); Arisha, Asma (57221856574); Shanto, Minhaz Uddin Ahmed (57219986428)","57219509932; 57208340630; 57221856574; 57219986428","A deep learning based approach to child labour detection","2020","Proceeding - 6th Information Technology International Seminar, ITIS 2020","","","9321027","24","29","5","6","10.1109/ITIS50118.2020.9321027","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100408868&doi=10.1109%2fITIS50118.2020.9321027&partnerID=40&md5=c9b078e088b52e80d778792e8266bb32","Conference paper","Final","","Scopus","2-s2.0-85100408868"
"Paik W.","Paik, Wooyeal (47861946700)","47861946700","Struggling Foreign Small- and Medium-Sized Factories in Coastal China: Liquidate, Move, or Fly by Night?","2020","Modern China","46","4","","433","458","25","1","10.1177/0097700419854658","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068338803&doi=10.1177%2f0097700419854658&partnerID=40&md5=16ee2e618c688cbe2e6c42adf1cfa360","Article","Final","","Scopus","2-s2.0-85068338803"
"Albertus M.; Espinoza M.; Fort R.","Albertus, Michael (54943502000); Espinoza, Mauricio (57219089931); Fort, Ricardo (24485112700)","54943502000; 57219089931; 24485112700","Land reform and human capital development: Evidence from Peru","2020","Journal of Development Economics","147","","102540","","","","15","10.1016/j.jdeveco.2020.102540","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091194930&doi=10.1016%2fj.jdeveco.2020.102540&partnerID=40&md5=01088f613adbe5ff80e9762cecf74cdc","Article","Final","","Scopus","2-s2.0-85091194930"
"Yea S.","Yea, Sallie (6603790935)","6603790935","Postcolonial frameworks with survivors’ voices: Teaching about contemporary and historical forms of slavery and forced labour","2021","Anti-Trafficking Review","2021","17","","73","90","17","0","10.14197/atr.201221175","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115711430&doi=10.14197%2fatr.201221175&partnerID=40&md5=343ab3ca16b20642108980f23f471bfc","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85115711430"
