,Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
64,Luna Ostos L.M.; Roche L.; Coroama V.; Finkbeiner M.,"Luna Ostos, Luisa Marcela (58854599900); Roche, Lindsey (58091392800); Coroama, Vlad (56632517900); Finkbeiner, Matthias (56262719600)",58854599900; 58091392800; 56632517900; 56262719600,Social life cycle assessment in the chocolate industry: A Colombian case study with Luker Chocolate,2024,International Journal of Life Cycle Assessment,29,5,,929,951,22.0,4,10.1007/s11367-023-02261-y,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183663618&doi=10.1007%2fs11367-023-02261-y&partnerID=40&md5=1c5efa33fa0ceac9b4cbbf640bad46f7,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85183663618
66,Quandt S.A.; Younger E.C.; Arnold T.J.; Zepeda R.; Arcury T.A.; Daniel S.S.,"Quandt, Sara A. (7005921858); Younger, Elizabeth C. (58500709900); Arnold, Taylor J. (57203877920); Zepeda, Ramón (57267626600); Arcury, Thomas A. (7005890732); Daniel, Stephanie S. (57202874774)",7005921858; 58500709900; 57203877920; 57267626600; 7005890732; 57202874774,Developing Infographics to Present Research Findings from CBPR to Latinx Farmworker Community Members,2023,"Progress in Community Health Partnerships: Research, Education, and Action",17,2,,217,225,8.0,0,10.1353/cpr.2023.a900202,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165517333&doi=10.1353%2fcpr.2023.a900202&partnerID=40&md5=89b22fdb5dfbc8b6aae1f91f3ae0b834,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85165517333
67,Graddy-Lovelace G.,"Graddy-Lovelace, Garrett (57190682590)",57190682590,Towards abolitionist agrarian geographies of Kentucky,2023,Environment and Planning E: Nature and Space,6,3,,1561,1589,28.0,1,10.1177/25148486231187795,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165430821&doi=10.1177%2f25148486231187795&partnerID=40&md5=45db3fec51c9a0bcabff7ada67b775b6,Article,Final,,Scopus,2-s2.0-85165430821
68,Datta P.; Behera B.; Timsina J.; Rahut D.B.,"Datta, Pritha (57210567226); Behera, Bhagirath (13205449000); Timsina, Jagadish (8766956200); Rahut, Dil Bahadur (56962787600)",57210567226; 13205449000; 8766956200; 56962787600,Achieving sustainable development through agriculture-forestry-livestock nexus in Bangladesh: Synergies and trade-offs,2024,Agricultural Systems,215,,103854,,,,3,10.1016/j.agsy.2024.103854,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182363908&doi=10.1016%2fj.agsy.2024.103854&partnerID=40&md5=13a7e5e7687ea998bcb71942ec35d660,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85182363908
69,Win N.N.; Naing A.,"Win, Nyunt Nyunt (57210323163); Naing, Aung (58538772200)",57210323163; 58538772200,Tolerant Tea Shops: The Social Construction of Forbearance in Child Labor,2023,Journal of Burma Studies,27,2,,261,289,28.0,0,10.1353/jbs.2023.a902622,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168143658&doi=10.1353%2fjbs.2023.a902622&partnerID=40&md5=b30ce0ee5405a01015fa518a9fa972b9,Article,Final,,Scopus,2-s2.0-85168143658
70,Schoultz I.; Spanger M.; Jokinen A.; Økland Jahnsen S.; Muhire H.; Pekkarinen A.-G.,"Schoultz, Isabel (55371973500); Spanger, Marlene (35774786000); Jokinen, Anniina (43461567500); Økland Jahnsen, Synnøve (58351434800); Muhire, Heraclitos (58351434900); Pekkarinen, Anna-Greta (58354711800)",55371973500; 35774786000; 43461567500; 58351434800; 58351434900; 58354711800,Constructions of migrant victims of labor exploitation in Nordic court cases,2024,International Review of Victimology,30,2,,261,281,20.0,3,10.1177/02697580231174912,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163046065&doi=10.1177%2f02697580231174912&partnerID=40&md5=fa0f6298ec8c2a00ce0a6ab19723df27,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85163046065
71,Martey E.; Etwire P.M.; Mockshell J.; Armah R.; Akorsikumah E.,"Martey, Edward (56543675700); Etwire, Prince M. (56940753900); Mockshell, Jonathan (55990250000); Armah, Ralph (59000999000); Akorsikumah, Eli (57226437381)",56543675700; 56940753900; 55990250000; 59000999000; 57226437381,Ecological shocks and children's school attendance and farm work in Ghana,2023,World Development Perspectives,31,,100529,,,,2,10.1016/j.wdp.2023.100529,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169338205&doi=10.1016%2fj.wdp.2023.100529&partnerID=40&md5=0fd852c7c153122a3dcd488e5e9937d8,Article,Final,,Scopus,2-s2.0-85169338205
72,Arnold T.J.; Morrison S.D.; Romero M.Y.M.; Echeverria S.E.; Zapata S.; Quandt S.A.; Torres-Lara F.; Arvizu J.A.R.; Arcury T.A.,"Arnold, Taylor J. (57203877920); Morrison, Sharon D. (9271280300); Romero, Michelle Y. Martin (57204514379); Echeverria, Sandra E. (57204027430); Zapata, Sylvia (59370847000); Quandt, Sara A. (7005921858); Torres-Lara, Fabiola (59371715800); Arvizu, Jose A. Robles (59371372000); Arcury, Thomas A. (7005890732)",57203877920; 9271280300; 57204514379; 57204027430; 59370847000; 7005921858; 59371715800; 59371372000; 7005890732,Essential(ly forgotten) workers: Latine youth farmworkers during the COVID-19 pandemic,2024,American Journal of Industrial Medicine,67,12,,1121,1134,13.0,0,10.1002/ajim.23671,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206671130&doi=10.1002%2fajim.23671&partnerID=40&md5=46f3d0f3fc7c7b97439aade1621ecf09,Article,Final,,Scopus,2-s2.0-85206671130
74,Guidi C.F.; Berti F.,"Guidi, Caterina Francesca (57202503413); Berti, Fabio (57160770500)",57202503413; 57160770500,Labor exploitation in the Italian agricultural sector: the case of vulnerable migrants in Tuscany,2023,Frontiers in Sociology,8,,1234873,,,,5,10.3389/fsoc.2023.1234873,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174636832&doi=10.3389%2ffsoc.2023.1234873&partnerID=40&md5=8ecd84ab5495fcdd566db050f46d63c5,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85174636832
76,Palmioli L.; Dentoni D.; Brunori G.,"Palmioli, Lucia (57212305753); Dentoni, Domenico (36815722400); Brunori, Gianluca (57950785200)",57212305753; 36815722400; 57950785200,Disembedding and re-embedding practices of social innovation at the nexus of migration and labour exploitation in agriculture,2024,Frontiers in Sustainable Food Systems,8,,1324465,,,,0,10.3389/fsufs.2024.1324465,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198545917&doi=10.3389%2ffsufs.2024.1324465&partnerID=40&md5=740eedd57ae3b1ae7c00035ca1ddbe51,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85198545917
77,Lax-Martinez G.,"Lax-Martinez, Gema (57225973529)",57225973529,Reservoirs of power: The political legacy of dam construction in Franco's Spain,2024,Explorations in Economic History,94,,101628,,,,0,10.1016/j.eeh.2024.101628,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206148318&doi=10.1016%2fj.eeh.2024.101628&partnerID=40&md5=d0162bd0adbcf47b1c8d19d9b7463c05,Article,Final,,Scopus,2-s2.0-85206148318
78,Miller R.; Mudenda L.D.; Sedai A.K.,"Miller, Ray (57193912715); Mudenda, Lackson D. (58606211300); Sedai, Ashish K. (57190022419)",57193912715; 58606211300; 57190022419,Persistent Agricultural Shocks and Child Poverty,2024,Journal of Development Studies,60,1,,30,45,15.0,1,10.1080/00220388.2023.2253977,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171673181&doi=10.1080%2f00220388.2023.2253977&partnerID=40&md5=42c35ea4ebea8de18db5b57d620d87ca,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85171673181
79,Goulart P.V.,"Goulart, Pedro Vaz (57212193666)",57212193666,"Child labour, Africa’s colonial system, and coercion: The case of the Portuguese colonies, 1870–1975",2024,Economic History of Developing Regions,39,1,,82,104,22.0,0,10.1080/20780389.2023.2243034,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168456646&doi=10.1080%2f20780389.2023.2243034&partnerID=40&md5=f246b5df8a10bfc63252366c2b05ce98,Review,Final,,Scopus,2-s2.0-85168456646
80,Yagci Sokat K.; Auguste M.; Wigle C.; Baglin C.,"Yagci Sokat, Kezban (55193593200); Auguste, Marisa (57219656649); Wigle, Christi (58783436900); Baglin, Chris (57208610810)",55193593200; 57219656649; 58783436900; 57208610810,Forced labor and Transportation: Multi-disciplinary perspectives,2024,Transportation Research Interdisciplinary Perspectives,23,,100999,,,,4,10.1016/j.trip.2023.100999,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180784153&doi=10.1016%2fj.trip.2023.100999&partnerID=40&md5=dee49432de5bca485537389833e3d1c9,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85180784153
82,Herrera-González F.; Mora-Guerrero G.,"Herrera-González, Fernanda (57807044500); Mora-Guerrero, Gloria (57204621460)",57807044500; 57204621460,"Interculturality and rural childhood: work and care in La Araucanía, Chile; [Interculturalidade e infância rural: trabalho e cuidado em La Araucanía, Chile]; [Interculturalidad e infancia rural: trabajo y cuidado en La Araucanía, Chile]",2023,"Revista Latinoamericana de Ciencias Sociales, Ninez y Juventud",21,3,,,,,2,10.11600/rlcsnj.21.3.5058,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172391937&doi=10.11600%2frlcsnj.21.3.5058&partnerID=40&md5=2a4eb21230c1809a737338b542c18a90,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85172391937
83,Koleva D.; Andersen T.S.,"Koleva, Daniela (35272169600); Andersen, Tea Sindbæk (57208024233)",35272169600; 57208024233,Communist Prison Camps as Sites of Memory and Legacies of Dissent: Belene and Goli Otok in Bulgarian and Croatian Cultural Memory,2024,East European Politics and Societies,38,3,,910,930,20.0,0,10.1177/08883254231203733,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208978619&doi=10.1177%2f08883254231203733&partnerID=40&md5=71f0ed06e131e9f39f2be47eb8ead119,Article,Final,,Scopus,2-s2.0-85208978619
84,Chiodi V.; Escudero V.,"Chiodi, Vera (37361031500); Escudero, Verónica (56108832900)",37361031500; 56108832900,More is more. Combined livelihood-education interventions and their effect on child labour in the agricultural sector,2024,Journal of Development Effectiveness,,,,,,,0,10.1080/19439342.2024.2376559,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199068829&doi=10.1080%2f19439342.2024.2376559&partnerID=40&md5=24e23db9e0766aec15395807e101efcd,Article,Article in press,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85199068829
85,Casanova Brito M.; Puentes Sánchez Y.,"Casanova Brito, Mauricio (59257231700); Puentes Sánchez, Yessenia (58503356000)",59257231700; 58503356000,"Survey on daily wages of women and men of the manufacturing industry in santiago and valparaíso in mid-twentieth century chile ¿what can be done with this information?; [Pesquisa sobre os salários diários de mulheres e homens da indústria manufatureira em santiago e valparaíso em meados do século xx chile ¿o que pode ser feito com estas informações?]; [Encuesta sobre salarios diarios de mujeres, hombres y menores en la industria manufacturera en Santiago, Valparaíso y Concepción a mediados del Siglo XX ¿Qué se puede hacer con esta información?]",2024,Revista Historia Social y de las Mentalidades,28,1,,291,318,27.0,0,10.35588/5rchq717,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201042684&doi=10.35588%2f5rchq717&partnerID=40&md5=d27dd72a8983edc2fe4e8b512eb6c6ca,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85201042684
88,Wang X.; Zhou W.,"Wang, Xin (59014155600); Zhou, Wenjie (59013634700)",59014155600; 59013634700,Research on objective evaluation methods of labor education teaching for college students in higher education,2024,Applied Mathematics and Nonlinear Sciences,9,1,20240905,,,,0,10.2478/amns-2024-0905,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192068830&doi=10.2478%2famns-2024-0905&partnerID=40&md5=4bdbfa2db8311b0064e1aeaca0b73936,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85192068830
89,Parvez M.A.; Rana I.A.; Nawaz A.; Arshad H.S.H.,"Parvez, Muhammad Arham (58112271100); Rana, Irfan Ahmad (56880023300); Nawaz, Adnan (56950257100); Arshad, Hafiz Syed Hamid (57194133548)",58112271100; 56880023300; 56950257100; 57194133548,The impact of brick kilns on environment and society: a bibliometric and thematic review,2023,Environmental Science and Pollution Research,30,17,,48628,48653,25.0,6,10.1007/s11356-023-26011-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148634714&doi=10.1007%2fs11356-023-26011-7&partnerID=40&md5=6fe7308531590699938313eeacc0a3d9,Review,Final,,Scopus,2-s2.0-85148634714
90,Singh A.; Mishra A.,"Singh, Ashwani (58535777600); Mishra, Achyutananda (57912623900)",58535777600; 57912623900,"Forced Labour, Global Supply Chain and TNCs: Recent Trends and Practices",2024,Global Trade and Customs Journal,19,10,,627,637,10.0,0,10.54648/GTCJ2024073,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204432812&doi=10.54648%2fGTCJ2024073&partnerID=40&md5=72634d08666d432a7a6a3a00f92c1325,Article,Final,,Scopus,2-s2.0-85204432812
91,Uleri F.; Zadra F.; Piccoli A.; Durán Sandoval D.J.; Elsen S.,"Uleri, Francesca (57226467266); Zadra, Franca (57970473800); Piccoli, Alessandra (57315050900); Durán Sandoval, Daniel J. (58295904800); Elsen, Susanne (57189271538)",57226467266; 57970473800; 57315050900; 58295904800; 57189271538,Fruit production and exploited labor in northern Italy: Redefining urban responsibility toward the agrarian ground,2023,City and Society,35,3,,215,227,12.0,3,10.1111/ciso.12472,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176591323&doi=10.1111%2fciso.12472&partnerID=40&md5=8bd7eae9d3116aaee96226e3f9ca3c18,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85176591323
92,Berridy-Segade L.; del Prado Díaz de Mera Sánchez M.; Reyes-Belmonte M.Á.; Martín-Gamboa M.,"Berridy-Segade, Luisa (59205593100); del Prado Díaz de Mera Sánchez, María (59206185000); Reyes-Belmonte, Miguel Ángel (36683153300); Martín-Gamboa, Mario (55892359100)",59205593100; 59206185000; 36683153300; 55892359100,Assessing the social life cycle impacts of the Spanish electricity mix: A decadal analysis,2024,Sustainable Production and Consumption,49,,,329,340,11.0,1,10.1016/j.spc.2024.06.030,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197626292&doi=10.1016%2fj.spc.2024.06.030&partnerID=40&md5=47c751e4c813b159f3905d64fb4c157c,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85197626292
93,Özmen M.U.; Turan B.,"Özmen, Mustafa Utku (56903843400); Turan, Belgi (38863177900)",56903843400; 38863177900,"Two birds, one stone: minimum wage and child labor",2024,International Journal of Manpower,,,,,,,0,10.1108/IJM-08-2023-0440,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208242900&doi=10.1108%2fIJM-08-2023-0440&partnerID=40&md5=f30e78dd2c83ab824f5cddb6420c7f86,Article,Article in press,,Scopus,2-s2.0-85208242900
94,Goulart P.V.; Sobreira N.; Ferrittu G.; Bedi A.S.,"Goulart, Pedro V. (57212193666); Sobreira, Nuno (56045642700); Ferrittu, Gianluca (57725829400); Bedi, Arjun S. (7006496068)",57212193666; 56045642700; 57725829400; 7006496068,What Led to the Decline of Child Labour in the European Periphery? A Cointegration Approach with Long Historical Data,2024,Social Indicators Research,172,2,,765,801,36.0,0,10.1007/s11205-024-03315-w,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188442547&doi=10.1007%2fs11205-024-03315-w&partnerID=40&md5=8f632ccacf6daf2cb3c6c306ea11ce9c,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85188442547
95,Alzoubi Y.; Locatelli G.; Sainati T.,"Alzoubi, Yazan (58085216200); Locatelli, Giorgio (57210769700); Sainati, Tristano (56527436400)",58085216200; 57210769700; 56527436400,The ugly side of construction: modern slavery in the 2022 FIFA World Cup program,2024,Construction Management and Economics,42,5,,412,430,18.0,3,10.1080/01446193.2023.2269434,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175377425&doi=10.1080%2f01446193.2023.2269434&partnerID=40&md5=e26f8321241c4357e91d692da6b3aeea,Article,Final,,Scopus,2-s2.0-85175377425
96,Yu W.; Wong C.Y.; Jacobs M.; Chavez R.,"Yu, Wantao (25626826800); Wong, Chee Yew (55894542500); Jacobs, Mark (7402487518); Chavez, Roberto (41661032000)",25626826800; 55894542500; 7402487518; 41661032000,Modern slavery supply chain capabilities: the effects of Blockchain technology and employees’ digital dexterity,2024,International Journal of Operations and Production Management,,,,,,,0,10.1108/IJOPM-11-2023-0881,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191743034&doi=10.1108%2fIJOPM-11-2023-0881&partnerID=40&md5=8c830cc9fc7e21cd351ebaa824bca4b3,Article,Article in press,All Open Access; Green Open Access,Scopus,2-s2.0-85191743034
97,Barkay T.; Davies J.; Pietropaoli I.; Shamir H.,"Barkay, Tamar (57214302070); Davies, Jonathan (57201088348); Pietropaoli, Irene (56471947900); Shamir, Hila (39262467900)",57214302070; 57201088348; 56471947900; 39262467900,Anti-trafficking Chains: Analyzing the Impact of Transparency Legislation in the UK Construction Sector,2024,Law and Social Inquiry,,,,,,,2,10.1017/lsi.2024.6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185268496&doi=10.1017%2flsi.2024.6&partnerID=40&md5=53e79764215fdae4be4b138e2d8055e5,Article,Article in press,All Open Access,Scopus,2-s2.0-85185268496
98,Dodd T.; Guthrie J.; Dumay J.,"Dodd, Tracey (57203549630); Guthrie, James (8396129000); Dumay, John (16237803000)",57203549630; 8396129000; 16237803000,Management controls and modern slavery risks in the building and construction industry: Lessons from an Australian social housing provider,2023,British Accounting Review,55,3,101098,,,,10,10.1016/j.bar.2022.101098,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130419316&doi=10.1016%2fj.bar.2022.101098&partnerID=40&md5=741c7241162619e966d8f88834742666,Article,Final,,Scopus,2-s2.0-85130419316
100,Liu T.; Suprun E.; Stewart R.A.; Duran S.,"Liu, Tingting (55727714000); Suprun, Emiliya (57194815918); Stewart, Rodney A. (58023802000); Duran, Shane (57463821300)",55727714000; 57194815918; 58023802000; 57463821300,Developing a framework for assessing the readiness of entities in the construction industry in addressing modern slavery,2022,Sustainable Production and Consumption,31,,,139,151,12.0,9,10.1016/j.spc.2022.02.003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125115155&doi=10.1016%2fj.spc.2022.02.003&partnerID=40&md5=6b3ffd58802fb482ec62e76cbc7a3792,Article,Final,,Scopus,2-s2.0-85125115155
101,Hameed S.,"Hameed, Sameena (57202066376)",57202066376,India’s Labour Agreements with the Gulf Cooperation Council Countries: An Assessment,2021,International Studies,58,4,,442,465,23.0,2,10.1177/00208817211055344,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138725559&doi=10.1177%2f00208817211055344&partnerID=40&md5=461b15a1caaa10011e4e02cec137e5ad,Article,Final,,Scopus,2-s2.0-85138725559
102,Ilsan M.; Hasan I.; Nuraeni,"Ilsan, Mais (57208112679); Hasan, Iskandar (57827808500); Nuraeni (55769193300)",57208112679; 57827808500; 55769193300,Potential and Realized of Farmer Household Labor to Support Optimal Performance of Corn and Rice Farming in South Sulawesi Indonesia,2022,Pakistan Journal of Life and Social Sciences,20,1,,8,14,6.0,1,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135259380&partnerID=40&md5=8757c9769db13a1e83aca12a30f3212a,Article,Final,,Scopus,2-s2.0-85135259380
104,Zhao X.; Klemeš J.J.; Saxon M.; You F.,"Zhao, Xiang (57221238811); Klemeš, Jiří Jaromír (56903012000); Saxon, Michael (57969573400); You, Fengqi (56750277000)",57221238811; 56903012000; 57969573400; 56750277000,How sustainable are the biodegradable medical gowns via environmental and social life cycle assessment?,2022,Journal of Cleaner Production,380,,135153,,,,7,10.1016/j.jclepro.2022.135153,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142171662&doi=10.1016%2fj.jclepro.2022.135153&partnerID=40&md5=25422105352f685b8728b7c442c1b5f0,Article,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-85142171662
105,Dasgupta S.; Mukherjee A.,"Dasgupta, Satyaki (57732594900); Mukherjee, Annesha (57802621100)",57732594900; 57802621100,Determinants of Child Labour in India: A Cross-sectional Analysis,2022,Economic and Political Weekly,57,42,,54,60,6.0,1,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142189469&partnerID=40&md5=0e69f75e2e08ffd325b0420cb3541c46,Article,Final,,Scopus,2-s2.0-85142189469
106,Robin-Olivier S.,"Robin-Olivier, Sophie (56112269400)",56112269400,Posting of workers in the European Union: an exploitative labour system,2022,European Law Open,1,3,,679,689,10.0,1,10.1017/elo.2022.38,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160221032&doi=10.1017%2felo.2022.38&partnerID=40&md5=1dc63273f1dda1a83324b06216d20433,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85160221032
107,Pugh E.; Drost E.A.,"Pugh, Ezra (57807061800); Drost, Ellen A. (7004359775)",57807061800; 7004359775,Los Angeles Apparel: Locally Made in a Global Market,2021,Entrepreneurship Education and Pedagogy,4,4,,778,796,18.0,0,10.1177/2515127420982511,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134353868&doi=10.1177%2f2515127420982511&partnerID=40&md5=5ac3a2194b290a7d0c59e9c7c9739516,Article,Final,,Scopus,2-s2.0-85134353868
108,Gaikin V.A.,"Gaikin, Viktor A. (58110538700)",58110538700,Korean “collective farms” in Manchukuo (1932-1945),2022,Russian Peasant Studies,7,4,,33,46,13.0,0,10.22394/2500-1809-2022-7-4-33-46,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148521858&doi=10.22394%2f2500-1809-2022-7-4-33-46&partnerID=40&md5=317f0bde0f9acbb759447ae69054b195,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85148521858
109,Burke A.N.,"Burke, Abigail N. (57967625400)",57967625400,A THIRD-PARTY BENEFICIARY THEORY OF CORPORATE LIABILITY FOR LABOR VIOLATIONS IN INTERNATIONAL SUPPLY CHAINS,2022,Virginia Law Review,108,6,,1449,1481,32.0,1,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141983886&partnerID=40&md5=e51324f4922383c149efccbc80ad0b00,Review,Final,,Scopus,2-s2.0-85141983886
110,Sajir Z.; Molinero-Gerbeau Y.; Avallone G.,"Sajir, Zakaria (57209586433); Molinero-Gerbeau, Yoan (57201699417); Avallone, Gennaro (56258007600)",57209586433; 57201699417; 56258007600,"""EVERYTHING CHANGES, EVERYTHING STAYS THE SAME"". THE GOVERNANCE OF MIGRANT LABOR IN SPANISH AND ITALIAN AGRICULTURE IN THE FIRST YEAR OF THE COVID-19 PANDEMIC; [""Todo cambia, todo sigue igual"". La gobernanza de la mano de obra migrante en la agricultura espanola e italiana en el primer ano de la pandemia de Covid-19]",2022,Estudios Geograficos,83,293,e114,,,,4,10.3989/estgeogr.2022120.120,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132174542&doi=10.3989%2festgeogr.2022120.120&partnerID=40&md5=32d1bf02ca876bcb04d0aed3d180df60,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85132174542
111,Gutierrez-Huerter O G.; Gold S.; Trautrims A.,"Gutierrez-Huerter O, Gabriela (57201910352); Gold, Stefan (7202072222); Trautrims, Alexander (55439938200)",57201910352; 7202072222; 55439938200,Change in Rhetoric but not in Action? Framing of the Ethical Issue of Modern Slavery in a UK Sector at High Risk of Labor Exploitation,2023,Journal of Business Ethics,182,1,,35,58,23.0,18,10.1007/s10551-021-05013-w,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120681629&doi=10.1007%2fs10551-021-05013-w&partnerID=40&md5=9a491178cc257a4e5f6011fa2adb4065,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85120681629
112,Bolotta G.; Devine D.,"Bolotta, Giuseppe (57211351280); Devine, Dympna (12789194200)",57211351280; 12789194200,Contested futures: The ‘humanitarian value’ of childhood in rural Sierra Leone,2022,Current Sociology,70,4,,557,577,20.0,2,10.1177/0011392120985867,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101246826&doi=10.1177%2f0011392120985867&partnerID=40&md5=155b23892b67a822f4868fb033fd47b3,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85101246826
113,de Sousa N.K.M.; Mazza V.A.; Khalaf D.K.; Lapierre J.; Piosiadlo L.C.M.,"de Sousa, Noelia Kally Marinho (58222484000); Mazza, Verônica de Azevedo (7003998954); Khalaf, Daiana Kloh (57208629719); Lapierre, Judith (57214053861); Piosiadlo, Laura Christina Macedo (57190969887)",58222484000; 7003998954; 57208629719; 57214053861; 57190969887,Public policies to fight child labor: challenges for comprehensive health care and intersectoriality; [Políticas públicas de enfrentamento ao trabalho infantil: desafios para atenção integral em saúde e intersetorialidade],2023,Physis,33,,e33006,,,,0,10.1590/S0103-7331202333006,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85156261843&doi=10.1590%2fS0103-7331202333006&partnerID=40&md5=678f885043b998d59600da58b8fe11ed,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85156261843
114,Osaiyuwu A.; Burch S.; Sandu A.,"Osaiyuwu, Abiodun (57225169322); Burch, Sarah (57200893466); Sandu, Adriana (55625670300)",57225169322; 57200893466; 55625670300,"Acceptance, obedience and resistance: Children's perceptions of street trading in Nigeria",2022,Children and Society,36,1,,36,51,15.0,2,10.1111/chso.12482,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109355936&doi=10.1111%2fchso.12482&partnerID=40&md5=81aea9438a92c95fafdb0bcf9aaa5b1d,Article,Final,All Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85109355936
115,Antipin N.A.,"Antipin, N.A. (57200941679)",57200941679,MONUMENT TO EMPEROR ALEXANDER II IN ZLATOUST: A CASE OF PROVINCIAL COMMEMORATION IN PRE-REVOLUTIONARY RUSSIA,2021,Perm University Herald - History,55,4,,28,38,10.0,0,10.17072/2219-3111-2021-4-28-38,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124466965&doi=10.17072%2f2219-3111-2021-4-28-38&partnerID=40&md5=2fc347904959573899dccb1ba894eebf,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85124466965
116,Pradella L.; Cillo R.,"Pradella, Lucia (36057294600); Cillo, Rossana (56487981900)",36057294600; 56487981900,Bordering the surplus population across the Mediterranean: Imperialism and unfree labour in Libya and the Italian countryside,2021,Geoforum,126,,,483,494,11.0,16,10.1016/j.geoforum.2020.06.019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087906807&doi=10.1016%2fj.geoforum.2020.06.019&partnerID=40&md5=29c606cb471c3cb0ca8bfd691ab34c8f,Article,Final,,Scopus,2-s2.0-85087906807
117,Fudge J.,"Fudge, Judy (8434087200)",8434087200,Bad for business: the construction of modern slavery and the reconfiguration of sovereignty,2022,London Review of International Law,10,1,,3,31,28.0,2,10.1093/lril/lrac001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132767592&doi=10.1093%2flril%2flrac001&partnerID=40&md5=28196c30a4733c4d8aee74678fcc6043,Article,Final,,Scopus,2-s2.0-85132767592
